Code,Country_ECDC,Region,Income_group,ACAPS_suppression_number,ACAPS_reference,Description,source,Date_suppression,Date_lastACAPSifnosuppression,WPP_Population,cases_at_suppression,deaths_at_suppression,end_exp_growth,cases_at_end_exponential,deaths_at_end_exponential,cases_per_death
UKR,Ukraine,Europe & Central Asia,Lower middle income,1,3986,"Only pharmacies, grocery stores should remain open: Ukraine's health chief on minimizing Covid-19 spread",https://www.unian.info/society/10915721-only-pharmacies-grocery-stores-should-remain-open-ukraine-s-health-chief-on-minimizing-covid-19-spread.html,15/03/2020,NA,43733.759,3,0,15/03/2020,3,0,NA
URY,Uruguay,Latin America & Caribbean,High income,3,NA,NA,NA,NA,13/04/2020,3473.727,NA,NA,13/04/2020,465,8,58.125
USA,United States,North America,High income,2,NA,NA,NA,NA,NA,331002.647,NA,NA,05/03/2020,159,11,14.45454545
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,3,NA,NA,NA,NA,02/03/2020,33469.199,NA,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,3,NA,NA,NA,NA,01/04/2020,110.947,NA,NA,01/04/2020,1,0,NA
VEN,Venezuela,Latin America & Caribbean,Upper middle income,1,770,Partial quarantine expanded to entire country.,https://www.reuters.com/article/us-health-coronavirus-venezuela/venezuelans-say-they-need-to-go-out-to-work-despite-coronavirus-quarantine-idUSKBN2132FD,16/03/2020,NA,28435.943,15,0,16/03/2020,15,0,NA
VGB,British Virgin Islands,Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,United States Virgin Islands,Latin America & Caribbean,High income,4,NA,NA,NA,NA,NA,104.423,NA,NA,NA,NA,NA,NA
VNM,Vietnam,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,15/03/2020,97338.583,NA,NA,15/03/2020,53,0,NA
VUT,Vanuatu,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,14/04/2020,307.15,NA,NA,NA,NA,NA,NA
WSM,Samoa,East Asia & Pacific,Upper middle income,1,2607,Samoa under 2 week lockdown -effective midnight Mar 25 - April 8,https://www.rnz.co.nz/international/pacific-news/412587/samoa-to-fine-people-who-don-t-adhere-to-covid-19-restrictions,25/03/2020,NA,198.41,0,0,25/03/2020,0,0,NA
XKX,Kosovo,Europe & Central Asia,Upper middle income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,Yemen,Middle East & North Africa,Low income,3,NA,NA,NA,NA,26/03/2020,29825.968,NA,NA,NA,NA,NA,NA
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,1,1844,All of South Africa will go into total lockdown from the midight 26th March until 16th of April . This means individuals will not be allowed to leave their homes except for strict reasons (aside from essential workers in the response). Detention and/or fine will be punishment for breaking the rules.,https://twitter.com/GovernmentZA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,27/03/2020,NA,59308.69,927,2,27/03/2020,927,2,NA
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,3,NA,NA,NA,NA,13/04/2020,18383.956,NA,NA,13/04/2020,43,2,NA
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,1,2956,"Zimbabwe will go into lockdown for three weeks from Monday. All will be required to stay at home, except to buy food and access vital health services. Security agents will be deployed to enforce it. Only State and health workers and those who maintain key infrastructure such as power, water and sanitation, among others, will be exempted from the lockdown. Alcohol sale will be banned during this period.",https://www.africanews.com/2020/03/27/coronavirus-hub-impact-of-outbreak-across-africa/,30/03/2020,NA,14862.927,7,1,30/03/2020,7,1,NA
